"Nr.","Kandidatas","Padalinys","UKI","KHF","TF","TSPMI","IF","FlF","FsF","EF","KF","Viso"
"1.","Doc. dr. Dalia Bagdžiūnienė","FsF",3.0,5.0,1.0,0.0,0.0,4.0,"xxx",16.0,0.0,29.0
"2.","Prof. dr. Alfredas Bumblauskas","IF",11.0,14.0,8.0,6.0,"xxx",42.0,35.0,14.0,4.0,134.0
"3.","Doc. dr. Jolita Buzaitytė-Kašalynienė","FsF",1.0,4.0,1.0,0.0,0.0,7.0,"xxx",0.0,0.0,13.0
"4.","Alfonso Rascon Caballero","UKI","xxxxxxxx",7.0,3.0,3.0,2.0,5.0,5.0,1.0,2.0,28.0
"5.","Prof. dr. Danuta Diskienė","EF",7.0,2.0,2.0,0.0,0.0,3.0,5.0,"xxx",0.0,19.0
"6.","Prof. dr. Aleksandras Dobryninas","FsF",11.0,7.0,7.0,6.0,25.0,45.0,"xxx",5.0,4.0,110.0
"7.","Doc. dr. Marija Drėmaitė","IF",29.0,10.0,5.0,13.0,"xxx",49.0,22.0,5.0,6.0,139.0
"8.","Dr. Liutauras Gudžinskas","TSPMI",7.0,8.0,3.0,"xxx",9.0,32.0,7.0,5.0,3.0,74.0
"9.","Dr. Dalius Jarmalavičius","UKI","xxxxxxxxx",5.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,19.0
"10.","Prof. dr. Alvydas Jokubaitis","TSPMI",26.0,5.0,3.0,"xxx",35.0,39.0,40.0,5.0,3.0,156.0
"11.","Prof. dr. Virginija Jurėnienė","KHF",2.0,"xxxxxxxxxxx",51.0,0.0,5.0,54.0,8.0,63.0,15.0,198.0
"12.","Doc. dr. Naglis Kardelis","FsF",8.0,34.0,1.0,3.0,7.0,46.0,"xxx",2.0,2.0,103.0
"13.","Prof. dr. Romas Lazutka","EF",43.0,43.0,53.0,8.0,28.0,85.0,48.0,"xxx",22.0,330.0
"14.","Doc. dr. Zita Mažuolienė","UKI","xxxxxxxxxx",3.0,1.0,0.0,2.0,10.0,9.0,1.0,16.0,42.0
"15.","Doc. dr. Teodoras Medaiskis","EF",2.0,37.0,53.0,2.0,4.0,59.0,14.0,0.0,16.0,187.0
"16.","Prof. habil. dr. Vytautas Nekrošius","TF",6.0,17.0,"xxxxxxx",12.0,6.0,59.0,14.0,68.0,23.0,205.0
"17.","Prof. dr. Arvydas Pacevičius","KF",13.0,19.0,52.0,4.0,14.0,72.0,13.0,65.0,"xxx",252.0
"18.","Doc. dr. Birutė Marytė Pociūtė","FsF",6.0,7.0,2.0,1.0,11.0,5.0,"xxx",6.0,4.0,42.0
"19.","Prof. dr. Ainė Ramonaitė","TSPMI",28.0,8.0,3.0,"xxx",16.0,45.0,20.0,2.0,2.0,124.0
"20.","Doc. dr. Kristupas Sabolius","FsF",3.0,9.0,2.0,7.0,8.0,26.0,"xxx",1.0,1.0,57.0
"21.","Doc. dr. Irena Smetonienė","FlF",3.0,35.0,53.0,5.0,5.0,"xxx",13.0,68.0,15.0,197.0
"22.","Prof. habil. dr. Bonifacas Stundžia","FlF",35.0,17.0,3.0,2.0,22.0,"xxx",12.0,1.0,3.0,95.0
"23.","Prof. dr. Paulius Vaidotas Subačius","FlF",3.0,5.0,6.0,4.0,32.0,"xxx",13.0,3.0,2.0,68.0
"24.","Doc. dr. Inesa Šeškauskienė","FlF",3.0,16.0,3.0,7.0,4.0,"xxx",5.0,0.0,0.0,38.0
"25.","Doc. dr. Diana Šileikaitė-Kaishauri","FlF",37.0,6.0,4.0,9.0,27.0,"xxx",21.0,4.0,2.0,110.0
"26.","Lekt. dr. Jolanta Šinkūnienė","FlF",2.0,6.0,0.0,1.0,2.0,"xxx",2.0,0.0,1.0,14.0
"27.","Doc. dr. Kęstutis Urba","FlF",40.0,19.0,4.0,4.0,12.0,"xxx",14.0,2.0,20.0,115.0
"28.","Prof. habil. dr. Aurelija Usonienė","FlF",2.0,21.0,53.0,2.0,1.0,"xxx",7.0,67.0,2.0,155.0
"29.","Prof. dr. Gintautas Valickas","FsF",3.0,8.0,10.0,4.0,7.0,13.0,"xxx",1.0,2.0,48.0
"30.","Prof. dr. Gediminas Vitkus","TSPMI",10.0,4.0,4.0,"xxx",23.0,32.0,17.0,12.0,5.0,107.0
"31.","Prof. dr. Laimutė Žalimienė","FsF",3.0,6.0,4.0,1.0,0.0,5.0,"xxx",7.0,0.0,26.0
